lead_id,lead_date,source,campaign,city,course_interest,lead_status,revenue_amount
L001,2026-01-05,Facebook,PowerBI_Jan,Hyderabad,PowerBI,New,0
L002,2026-01-05,Instagram,DataEng_Jan,Bangalore,AzureDataEngineering,Contacted,0
L003,2026-01-06,Google,DP700_Search,Pune,MicrosoftFabric,DemoAttended,0
L004,2026-01-06,WhatsApp,Referral,Chennai,PowerBI,Converted,15000
L005,2026-01-07,Facebook,DE_Combo,Delhi,AWSDataEngineering,Converted,45000
L006,2026-01-07,Instagram,Profile_Visit,Mumbai,PowerBI,New,0
L007,2026-01-08,Google,Databricks_Search,Hyderabad,Databricks,DemoAttended,0
L008,2026-01-08,WhatsApp,Website_Chat,Indore,AzureFabric,Converted,35000
L009,2026-01-09,Facebook,Feb_Campaign,Bangalore,PowerBI,Contacted,0
L010,2026-01-09,Instagram,Analytics_Lead,Kochi,DataAnalytics,Converted,25000
L011,2026-01-10,Google,Fabric_Search,Pune,MicrosoftFabric,DemoAttended,0
L012,2026-01-10,WhatsApp,Organic,Chennai,PowerBI,New,0
L013,2026-01-11,Facebook,PowerBI_Feb,Hyderabad,PowerBI,Converted,15000
L014,2026-01-11,Instagram,DE_Feb,Bangalore,AzureDataEngineering,Contacted,0
L015,2026-01-12,Google,Databricks_Feb,Mumbai,Databricks,DemoAttended,0
L016,2026-01-12,WhatsApp,Referral,Delhi,PowerBI,Converted,15000
L017,2026-01-13,Facebook,PowerBI_Mar,Pune,PowerBI,New,0
L018,2026-01-13,Instagram,Analytics_Mar,Hyderabad,DataAnalytics,Contacted,0
L019,2026-01-14,Google,Fabric_Mar,Chennai,MicrosoftFabric,DemoAttended,0
L020,2026-01-14,WhatsApp,Website_Chat,Indore,AzureFabric,Converted,35000
